time,ntime,latitude,nlatitude,longitude,nlongitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-10T02:36:55.630Z,2019-02-10 02:36:56,38.7643318,128.7643318,-122.7376633,57.2623367,7.12,1.44,md,5,156,0.01889,0.09,nc,nc73140460,2019-02-10T03:21:05.729Z,"2km SE of The Geysers, CA",earthquake,1.42,1.48,,1,automatic,nc,nc
2019-02-10T02:31:23.824Z,2019-02-10 02:31:24,61.4732,151.4732,-149.9569,30.0431,40.3,1.3,ml,,,,0.51,ak,ak0191vuesij,2019-02-10T02:34:33.022Z,"5km S of Big Lake, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-02-10T02:23:05.020Z,2019-02-10 02:23:05,37.8525009,127.8525009,-122.0221634,57.9778366,0.8,1.6,md,9,128,0.1089,0.19,nc,nc73140455,2019-02-10T02:55:03.583Z,"1km ENE of Alamo, CA",earthquake,0.64,6.12,0.17,5,automatic,nc,nc
2019-02-10T02:21:47.398Z,2019-02-10 02:21:47,66.3012,156.3012,-156.9435,23.0565,0.1,2.9,ml,,,,0.87,ak,ak0191vucp50,2019-02-10T02:34:32.684Z,"67km S of Kobuk, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-02-10T02:07:51.723Z,2019-02-10 02:07:52,61.5045,151.5045,-149.9364,30.0636,47.6,1.2,ml,,,,0.47,ak,ak0191vu9pgk,2019-02-10T02:11:17.189Z,"2km SSE of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-10T02:05:01.580Z,2019-02-10 02:05:02,0.2889,90.2889,126.2773,306.2773,44.08,5.2,mb,,52,1.19,1.03,us,us2000jfu6,2019-02-10T02:22:04.040Z,"133km WSW of Kota Ternate, Indonesia",earthquake,6.5,7.6,0.058,98,reviewed,us,us
2019-02-10T01:42:30.921Z,2019-02-10 01:42:31,66.735,156.735,-146.9694,33.0306,4.8,2.1,ml,,,,0.67,ak,ak0191vtvqd5,2019-02-10T01:55:04.009Z,"77km WNW of Fort Yukon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-10T01:41:36.620Z,2019-02-10 01:41:37,2.6763,92.6763,127.2093,307.2093,35,4.5,mb,,173,1.898,0.4,us,us2000jftz,2019-02-10T01:58:12.040Z,"137km NW of Tobelo, Indonesia",earthquake,12.2,2,0.128,18,reviewed,us,us
2019-02-10T01:30:21.330Z,2019-02-10 01:30:21,33.2711667,123.2711667,-117.0491667,62.9508333,21.44,0.78,ml,15,95,0.2853,0.25,ci,ci37527274,2019-02-10T01:33:57.729Z,"6km NNW of Valley Center, CA",earthquake,0.99,3.6,0.243,10,automatic,ci,ci
2019-02-10T01:15:25.610Z,2019-02-10 01:15:26,18.8256,108.8256,-67.2975,112.7025,11,2.44,md,5,329,0.4037,0.24,pr,pr2019041001,2019-02-10T04:32:56.434Z,"42km NNW of San Antonio, Puerto Rico",earthquake,2.12,1.23,0.37,5,reviewed,pr,pr
